country,iso3,year,life_expectancy,hale,healthspan_gap_years
Australia,AUS,2000,79.7,68.11,11.59
Switzerland,CHE,2000,79.71,68.35,11.36
United States of America,USA,2000,76.66,65.32,11.34
New Zealand,NZL,2000,78.58,67.27,11.31
Italy,ITA,2000,79.37,68.39,10.98
France,FRA,2000,78.91,67.98,10.93
Nicaragua,NIC,2000,76.18,65.29,10.89
Finland,FIN,2000,77.59,66.86,10.73
Lebanon,LBN,2000,75.72,65.0,10.72
Norway,NOR,2000,78.54,67.83,10.71
Greece,GRC,2000,78.42,67.74,10.68
United Arab Emirates,ARE,2000,78.12,67.45,10.66
Germany,DEU,2000,78.11,67.47,10.63
Brazil,BRA,2000,71.5,60.92,10.58
United Kingdom of Great Britain and Northern Ireland,GBR,2000,77.86,67.28,10.58
Luxembourg,LUX,2000,78.42,67.85,10.56
Iceland,ISL,2000,79.69,69.14,10.55
Canada,CAN,2000,79.09,68.54,10.55
Austria,AUT,2000,78.18,67.63,10.54
Portugal,PRT,2000,76.59,66.05,10.54
Chile,CHL,2000,76.8,66.26,10.54
Belgium,BEL,2000,77.67,67.21,10.46
Japan,JPN,2000,81.53,71.11,10.42
Cyprus,CYP,2000,78.83,68.47,10.36
Costa Rica,CRI,2000,78.17,67.83,10.33
Kuwait,KWT,2000,77.58,67.25,10.32
Sweden,SWE,2000,79.57,69.26,10.31
Denmark,DNK,2000,76.93,66.66,10.27
Paraguay,PRY,2000,74.68,64.41,10.27
Iran (Islamic Republic of),IRN,2000,73.49,63.23,10.26
Spain,ESP,2000,79.09,68.89,10.2
Israel,ISR,2000,78.54,68.34,10.2
Mexico,MEX,2000,74.22,64.1,10.12
Ireland,IRL,2000,76.42,66.32,10.1
Slovenia,SVN,2000,76.05,65.98,10.07
Puerto Rico,PRI,2000,76.25,66.2,10.05
Tunisia,TUN,2000,74.3,64.35,9.95
Netherlands (Kingdom of the),NLD,2000,78.01,68.1,9.91
Panama,PAN,2000,76.15,66.25,9.91
Bosnia and Herzegovina,BIH,2000,75.46,65.58,9.88
Libya,LBY,2000,74.04,64.23,9.82
Iraq,IRQ,2000,69.48,59.69,9.8
Malta,MLT,2000,77.82,68.02,9.79
Cuba,CUB,2000,76.75,67.02,9.73
Czechia,CZE,2000,75.03,65.31,9.72
Peru,PER,2000,75.12,65.42,9.71
Türkiye,TUR,2000,73.31,63.63,9.69
Saint Lucia,LCA,2000,73.22,63.53,9.68
Venezuela (Bolivarian Republic of),VEN,2000,74.03,64.38,9.66
Dominican Republic,DOM,2000,73.4,63.76,9.64
El Salvador,SLV,2000,71.65,62.02,9.63
Guatemala,GTM,2000,68.31,58.7,9.61
Argentina,ARG,2000,74.29,64.73,9.56
Uruguay,URY,2000,74.88,65.34,9.54
Algeria,DZA,2000,72.47,62.94,9.53
Poland,POL,2000,73.7,64.17,9.52
Croatia,HRV,2000,74.75,65.23,9.52
Morocco,MAR,2000,70.19,60.69,9.51
Antigua and Barbuda,ATG,2000,74.39,64.89,9.5
Jordan,JOR,2000,72.72,63.25,9.48
Slovakia,SVK,2000,73.32,63.86,9.46
Lithuania,LTU,2000,72.0,62.56,9.44
Saudi Arabia,SAU,2000,70.57,61.21,9.36
"occupied Palestinian territory, including east Jerusalem",PSE,2000,69.89,60.57,9.32
Barbados,BRB,2000,74.61,65.29,9.31
Nepal,NPL,2000,65.37,56.06,9.31
Republic of Korea,KOR,2000,75.86,66.55,9.31
Cabo Verde,CPV,2000,71.7,62.44,9.26
Colombia,COL,2000,72.54,63.32,9.22
Brunei Darussalam,BRN,2000,75.51,66.29,9.21
Albania,ALB,2000,73.68,64.48,9.21
Suriname,SUR,2000,70.56,61.38,9.18
Hungary,HUN,2000,71.36,62.22,9.15
Saint Vincent and the Grenadines,VCT,2000,71.66,62.54,9.12
Oman,OMN,2000,71.66,62.54,9.12
Estonia,EST,2000,70.97,61.85,9.12
Sri Lanka,LKA,2000,71.51,62.4,9.12
Singapore,SGP,2000,78.52,69.41,9.11
Ecuador,ECU,2000,72.59,63.5,9.09
India,IND,2000,63.2,54.13,9.07
North Macedonia,MKD,2000,72.95,63.9,9.05
Trinidad and Tobago,TTO,2000,70.42,61.39,9.03
Honduras,HND,2000,69.76,60.75,9.02
Latvia,LVA,2000,70.21,61.2,9.01
Syrian Arab Republic,SYR,2000,71.09,62.08,9.01
Montenegro,MNE,2000,73.43,64.43,9.0
Grenada,GRD,2000,71.59,62.64,8.96
Mauritius,MUS,2000,71.14,62.19,8.95
Yemen,YEM,2000,63.08,54.15,8.93
Bulgaria,BGR,2000,71.64,62.76,8.89
Timor-Leste,TLS,2000,62.87,53.98,8.89
Malaysia,MYS,2000,73.01,64.13,8.88
Romania,ROU,2000,71.14,62.29,8.85
Thailand,THA,2000,71.01,62.21,8.81
Ukraine,UKR,2000,67.55,58.79,8.77
Bhutan,BTN,2000,65.99,57.24,8.75
Bahamas,BHS,2000,70.97,62.22,8.75
Egypt,EGY,2000,69.15,60.42,8.73
Philippines,PHL,2000,69.97,61.25,8.73
Guyana,GUY,2000,64.65,55.95,8.7
Bangladesh,BGD,2000,65.36,56.66,8.7
Armenia,ARM,2000,71.62,62.97,8.65
Jamaica,JAM,2000,72.25,63.61,8.64
Bahrain,BHR,2000,69.69,61.05,8.63
Qatar,QAT,2000,70.38,61.76,8.62
Serbia,SRB,2000,71.5,62.9,8.6
Belarus,BLR,2000,68.79,60.21,8.58
Belize,BLZ,2000,70.1,61.6,8.5
Russian Federation,RUS,2000,65.16,56.71,8.45
Maldives,MDV,2000,69.82,61.39,8.43
Seychelles,SYC,2000,72.11,63.69,8.42
Sudan,SDN,2000,62.49,54.13,8.36
Samoa,WSM,2000,69.6,61.26,8.34
Bolivia (Plurinational State of),BOL,2000,66.09,57.77,8.32
Georgia,GEO,2000,71.07,62.77,8.3
Tonga,TON,2000,70.95,62.71,8.24
Pakistan,PAK,2000,61.41,53.19,8.22
Liberia,LBR,2000,53.27,45.11,8.17
Viet Nam,VNM,2000,71.87,63.74,8.14
Kazakhstan,KAZ,2000,64.35,56.37,7.99
Tajikistan,TJK,2000,65.65,57.79,7.86
Kyrgyzstan,KGZ,2000,65.93,58.11,7.83
Afghanistan,AFG,2000,53.82,46.03,7.8
Papua New Guinea,PNG,2000,63.36,55.57,7.79
Indonesia,IDN,2000,67.21,59.43,7.77
Comoros,COM,2000,62.04,54.29,7.75
Turkmenistan,TKM,2000,65.57,57.83,7.73
South Africa,ZAF,2000,57.12,49.4,7.72
Mauritania,MRT,2000,62.92,55.21,7.71
China,CHN,2000,70.84,63.13,7.71
Fiji,FJI,2000,65.83,58.13,7.7
Senegal,SEN,2000,58.61,50.95,7.65
Gabon,GAB,2000,57.69,50.04,7.65
Republic of Moldova,MDA,2000,65.66,58.02,7.64
Gambia,GMB,2000,59.15,51.51,7.64
Democratic Republic of the Congo,COD,2000,52.64,45.03,7.62
Sao Tome and Principe,STP,2000,63.13,55.52,7.61
Haiti,HTI,2000,56.73,49.16,7.57
Mongolia,MNG,2000,63.2,55.64,7.56
Benin,BEN,2000,57.42,49.89,7.53
Vanuatu,VUT,2000,64.93,57.49,7.44
Equatorial Guinea,GNQ,2000,54.03,46.6,7.43
Nigeria,NGA,2000,54.06,46.63,7.43
Azerbaijan,AZE,2000,65.23,57.81,7.43
Mozambique,MOZ,2000,50.95,43.55,7.4
Madagascar,MDG,2000,58.73,51.33,7.4
Ghana,GHA,2000,59.09,51.73,7.36
Cambodia,KHM,2000,59.1,51.78,7.33
South Sudan,SSD,2000,51.9,44.61,7.29
Micronesia (Federated States of),FSM,2000,63.56,56.28,7.28
Eritrea,ERI,2000,54.93,47.69,7.24
Kiribati,KIR,2000,60.08,52.86,7.23
Djibouti,DJI,2000,59.52,52.37,7.15
Solomon Islands,SLB,2000,63.4,56.3,7.1
Togo,TGO,2000,56.08,49.02,7.06
Mali,MLI,2000,53.06,46.06,6.99
Uzbekistan,UZB,2000,61.68,54.7,6.98
Myanmar,MMR,2000,59.38,52.42,6.96
Kenya,KEN,2000,54.09,47.15,6.94
United Republic of Tanzania,TZA,2000,52.79,45.92,6.88
Cameroon,CMR,2000,52.96,46.13,6.82
Burkina Faso,BFA,2000,51.89,45.06,6.82
Guinea,GIN,2000,54.2,47.43,6.77
Sierra Leone,SLE,2000,49.79,43.07,6.71
Congo,COG,2000,52.22,45.53,6.69
Cote d'Ivoire,CIV,2000,51.17,44.52,6.65
Democratic People's Republic of Korea,PRK,2000,62.52,55.88,6.64
Chad,TCD,2000,51.17,44.56,6.61
Lao People's Democratic Republic,LAO,2000,58.28,51.73,6.54
Angola,AGO,2000,49.37,42.85,6.52
Uganda,UGA,2000,48.89,42.49,6.4
Niger,NER,2000,50.24,43.86,6.38
Ethiopia,ETH,2000,50.79,44.45,6.34
Namibia,NAM,2000,53.02,46.72,6.3
Guinea-Bissau,GNB,2000,50.2,43.95,6.25
Rwanda,RWA,2000,46.89,40.76,6.14
Central African Republic,CAF,2000,44.23,38.3,5.94
Somalia,SOM,2000,49.28,43.41,5.88
Botswana,BWA,2000,47.16,41.31,5.86
Zambia,ZMB,2000,44.53,38.89,5.64
Malawi,MWI,2000,44.64,39.01,5.63
Lesotho,LSO,2000,47.38,41.82,5.57
Burundi,BDI,2000,44.36,38.8,5.56
Eswatini,SWZ,2000,46.78,41.42,5.36
Zimbabwe,ZWE,2000,45.75,40.53,5.21
United States of America,USA,2019,78.74,66.02,12.72
Australia,AUS,2019,82.64,70.26,12.39
New Zealand,NZL,2019,81.81,69.74,12.07
Kuwait,KWT,2019,82.5,70.48,12.03
Switzerland,CHE,2019,83.48,71.53,11.95
Lebanon,LBN,2019,79.29,67.41,11.88
France,FRA,2019,82.53,70.72,11.81
Canada,CAN,2019,82.02,70.3,11.72
United Arab Emirates,ARE,2019,81.41,69.69,11.72
Chile,CHL,2019,81.03,69.37,11.66
Italy,ITA,2019,82.99,71.43,11.56
Germany,DEU,2019,80.97,69.44,11.53
Belgium,BEL,2019,81.61,70.1,11.51
United Kingdom of Great Britain and Northern Ireland,GBR,2019,81.22,69.74,11.49
Norway,NOR,2019,82.66,71.18,11.47
Ireland,IRL,2019,81.94,70.48,11.46
Finland,FIN,2019,81.65,70.19,11.46
Spain,ESP,2019,83.14,71.69,11.45
Jordan,JOR,2019,79.79,68.36,11.42
Luxembourg,LUX,2019,82.8,71.46,11.35
Portugal,PRT,2019,81.37,70.06,11.31
Sweden,SWE,2019,82.71,71.41,11.3
Netherlands (Kingdom of the),NLD,2019,82.34,71.08,11.26
Iran (Islamic Republic of),IRN,2019,77.78,66.56,11.23
Austria,AUT,2019,81.65,70.44,11.2
Nicaragua,NIC,2019,78.87,67.68,11.19
Republic of Korea,KOR,2019,83.69,72.5,11.19
Greece,GRC,2019,80.91,69.82,11.09
Costa Rica,CRI,2019,80.3,69.21,11.09
Iceland,ISL,2019,82.47,71.39,11.08
Israel,ISR,2019,82.57,71.51,11.07
Puerto Rico,PRI,2019,80.5,69.44,11.07
Slovenia,SVN,2019,81.29,70.23,11.05
Cyprus,CYP,2019,82.18,71.13,11.05
Malta,MLT,2019,82.15,71.16,10.98
Qatar,QAT,2019,78.9,67.91,10.98
Denmark,DNK,2019,81.28,70.31,10.96
Brazil,BRA,2019,75.48,64.53,10.95
Japan,JPN,2019,84.47,73.58,10.89
Tunisia,TUN,2019,77.51,66.68,10.83
Saudi Arabia,SAU,2019,76.93,66.15,10.78
Panama,PAN,2019,78.97,68.31,10.66
Czechia,CZE,2019,79.14,68.49,10.64
"occupied Palestinian territory, including east Jerusalem",PSE,2019,75.83,65.19,10.64
Estonia,EST,2019,78.89,68.37,10.52
Iraq,IRQ,2019,72.9,62.41,10.49
Algeria,DZA,2019,76.55,66.14,10.41
Saint Lucia,LCA,2019,76.12,65.71,10.41
Türkiye,TUR,2019,77.62,67.24,10.38
Mexico,MEX,2019,75.83,65.46,10.37
Sri Lanka,LKA,2019,77.45,67.09,10.36
Bahrain,BHR,2019,76.03,65.8,10.23
Croatia,HRV,2019,78.6,68.38,10.22
Paraguay,PRY,2019,75.08,64.87,10.21
Uruguay,URY,2019,77.01,66.81,10.2
Libya,LBY,2019,73.54,63.36,10.19
Guatemala,GTM,2019,72.71,62.54,10.17
Poland,POL,2019,77.73,67.56,10.17
Morocco,MAR,2019,73.75,63.6,10.15
Ecuador,ECU,2019,77.75,67.62,10.14
Slovakia,SVK,2019,77.61,67.48,10.13
Argentina,ARG,2019,77.02,66.9,10.12
Singapore,SGP,2019,83.9,73.8,10.1
Bosnia and Herzegovina,BIH,2019,77.1,67.01,10.09
Colombia,COL,2019,77.95,67.9,10.05
Trinidad and Tobago,TTO,2019,74.09,64.07,10.02
Lithuania,LTU,2019,76.25,66.23,10.02
Bangladesh,BGD,2019,73.95,63.98,9.97
Suriname,SUR,2019,73.02,63.12,9.9
El Salvador,SLV,2019,74.28,64.39,9.89
Peru,PER,2019,78.29,68.41,9.88
Antigua and Barbuda,ATG,2019,75.66,65.78,9.87
Cuba,CUB,2019,77.66,67.8,9.86
India,IND,2019,70.73,60.88,9.84
Nepal,NPL,2019,71.36,61.53,9.83
Mauritius,MUS,2019,74.06,64.25,9.81
Bhutan,BTN,2019,73.93,64.13,9.8
Thailand,THA,2019,76.92,67.14,9.78
Dominican Republic,DOM,2019,73.91,64.14,9.77
Oman,OMN,2019,75.29,65.53,9.76
Barbados,BRB,2019,76.04,66.29,9.75
Hungary,HUN,2019,76.34,66.59,9.74
Belize,BLZ,2019,74.87,65.19,9.68
Latvia,LVA,2019,75.68,66.02,9.66
Saint Vincent and the Grenadines,VCT,2019,73.11,63.49,9.62
Brunei Darussalam,BRN,2019,76.68,67.08,9.6
Guyana,GUY,2019,68.73,59.14,9.59
Montenegro,MNE,2019,76.84,67.25,9.59
South Africa,ZAF,2019,65.84,56.29,9.54
Yemen,YEM,2019,66.9,57.36,9.54
Albania,ALB,2019,77.94,68.41,9.54
